mots-clés 3,COUNTA de mots-clés 3
indoor,1181
clothing,1100
smile,986
face,898
woman,789
human face,688
portrait,609
man,385
eyes,289
wall,206
girl,202
human beard,148
headshot,137
black and white,116
fashion accessory,114
outdoor,97
glasses,79
lipstick,72
person,71
shirt,67
fashion,63
necklace,62
suit,60
tie,54
boy,54
wearing,50
young,46
text,37
jacket,37
posing,36
selfie,33
smiling,30
sketch,30
blond,30
toddler,25
beard,23
standing,22
drawing,22
sitting,18
looking,16
sleeve,13
child,13
scarf,12
holding,12
layered hair,11
forehead,10
dress,10
baby,10
wrinkle,9
neck,9
music,8
hat,8
coat,8
chin,8
bangs,8
tree,7
screenshot,7
little,7
jeans,7
watch,6
trousers,6
t-shirt,6
flower,6
dark,6
concert,6
yellow,5
window,5
sky,5
ringlet,5
pretty,5
long hair,5
laptop,5
grass,5
fedora,5
dance,5
afro,5
water,4
sun hat,4
striped,4
necktie,4
military uniform,4
microphone,4
goggles,4
floor,4
brassiere,4
abstract,4
wedding dress,3
tooth,3
sunglasses,3
snow,3
shoulder,3
red,3
player,3
phone,3
older,3
musical instrument,3
muscle,3
live music,3
lip,3
jheri curl,3
guitar,3
ground,3
green,3
eyebrow,3
curtain,3
collar,3
blue,3
black,3
band,3
white,2
vehicle,2
skirt,2
skating,2
purple,2
plaid,2
painting,2
musical keyboard,2
monochrome,2
guy,2
footwear,2
elbow,2
cosmetics,2
child art,2
cellphone,2
carnivore,2
car,2
brick,2
bowed instrument,2
bed,2
beach,2
undergarment,1
temporary tattoo,1
swimming,1
sweater,1
string instrument,1
street,1
store,1
stone,1
soft drink,1
soccer,1
sleeveless shirt,1
skyscraper,1
singing,1
shorts,1
shelf,1
shadow,1
scene,1
room,1
rock,1
pool,1
playing,1
playground,1
plant,1
pipe,1
piano,1
physical fitness,1
outerwear,1
nude,1
nature,1
mountain,1
miniskirt,1
male,1
light,1
leotard,1
legs,1
leather jacket,1
land vehicle,1
lady,1
joint,1
jean,1
jazz,1
invertebrate,1
hiking,1
high heels,1
headphones,1
headdress,1
handbag,1
hairpiece,1
gig,1
furniture,1
fur,1
free reed aerophone,1
fishing,1
fashion model,1
embellishment,1
eating,1
drumhead,1
dreadlocks,1
day dress,1
dance skirt,1
cup,1
crowd,1
crop,1
cowboy hat,1
container,1
computer monitor,1
cocktail dress,1
city,1
chest,1
ceiling,1
cat,1
brown hair,1
bowed string instrument,1
bow,1
bottle,1
book,1
body,1
blouse,1
black hair,1
bird,1
beauty,1
baked goods,1
audio equipment,1
art,1
apple,1
animal,1
active shirt,1
,0
Total général,9488
