mots-clés 1,COUNTA de mots-clés 1
person,7977
human face,502
wall,267
man,249
outdoor,75
text,73
tree,54
woman,30
indoor,24
sketch,18
clothing,18
smile,16
eyes,16
concert,13
sky,11
fashion accessory,11
building,11
jacket,10
grass,10
necktie,9
dance,9
suit,8
musical instrument,8
screenshot,7
water,6
floor,6
dress,5
window,4
toddler,4
jeans,4
dog,4
scene,3
lipstick,3
face,3
black and white,3
yellow,2
wedding dress,2
tennis,2
shirt,2
posing,2
portrait,2
music,2
microphone,2
ground,2
glasses,2
girl,2
fashion,2
drawing,2
cartoon,2
car,2
trousers,1
table,1
swimming,1
snow,1
smiling,1
skiing,1
sitting,1
shorts,1
shelf,1
scarf,1
purple,1
plane,1
piano,1
moon,1
helmet,1
hat,1
furniture,1
fence,1
curtain,1
computer,1
coffee,1
coat,1
book,1
baby,1
,0
Total général,9525
